"translation","chapter","meta_data"
"rvr60-es","2Cor.1","rvr60-es.2Cor.1"
"rvr60-es","2Cor.2","rvr60-es.2Cor.2"
"rvr60-es","2Cor.3","rvr60-es.2Cor.3"
"rvr60-es","2Cor.4","rvr60-es.2Cor.4"
"rvr60-es","2Cor.5","rvr60-es.2Cor.5"
"rvr60-es","2Cor.6","rvr60-es.2Cor.6"
"rvr60-es","2Cor.7","rvr60-es.2Cor.7"
"rvr60-es","2Cor.8","rvr60-es.2Cor.8"
"rvr60-es","2Cor.9","rvr60-es.2Cor.9"
"rvr60-es","2Cor.10","rvr60-es.2Cor.10"
"rvr60-es","2Cor.11","rvr60-es.2Cor.11"
"rvr60-es","2Cor.12","rvr60-es.2Cor.12"
"rvr60-es","2Cor.13","rvr60-es.2Cor.13"
