"translation","chapter","meta_data"
"rvr60-es","John.1","rvr60-es.John.1"
"rvr60-es","John.2","rvr60-es.John.2"
"rvr60-es","John.3","rvr60-es.John.3"
"rvr60-es","John.4","rvr60-es.John.4"
"rvr60-es","John.5","rvr60-es.John.5"
"rvr60-es","John.6","rvr60-es.John.6"
"rvr60-es","John.7","rvr60-es.John.7"
"rvr60-es","John.8","rvr60-es.John.8"
"rvr60-es","John.9","rvr60-es.John.9"
"rvr60-es","John.10","rvr60-es.John.10"
"rvr60-es","John.11","rvr60-es.John.11"
"rvr60-es","John.12","rvr60-es.John.12"
"rvr60-es","John.13","rvr60-es.John.13"
"rvr60-es","John.14","rvr60-es.John.14"
"rvr60-es","John.15","rvr60-es.John.15"
"rvr60-es","John.16","rvr60-es.John.16"
"rvr60-es","John.17","rvr60-es.John.17"
"rvr60-es","John.18","rvr60-es.John.18"
"rvr60-es","John.19","rvr60-es.John.19"
"rvr60-es","John.20","rvr60-es.John.20"
"rvr60-es","John.21","rvr60-es.John.21"
