"translation","chapter","meta_data"
"kjv","Num.31","kjv.Num.31"
"kjv","Num.32","kjv.Num.32"
"kjv","Num.33","kjv.Num.33"
"kjv","Num.34","kjv.Num.34"
"kjv","Num.35","kjv.Num.35"
"kjv","Num.36","kjv.Num.36"
"kjv","Deut.1","kjv.Deut.1"
"kjv","Deut.2","kjv.Deut.2"
"kjv","Deut.3","kjv.Deut.3"
"kjv","Deut.4","kjv.Deut.4"
"kjv","Deut.5","kjv.Deut.5"
"kjv","Deut.6","kjv.Deut.6"
"kjv","Deut.7","kjv.Deut.7"
"kjv","Deut.8","kjv.Deut.8"
"kjv","Deut.9","kjv.Deut.9"
"kjv","Deut.10","kjv.Deut.10"
"kjv","Deut.11","kjv.Deut.11"
"kjv","Deut.12","kjv.Deut.12"
"kjv","Deut.13","kjv.Deut.13"
"kjv","Deut.14","kjv.Deut.14"
"kjv","Deut.15","kjv.Deut.15"
"kjv","Deut.16","kjv.Deut.16"
"kjv","Deut.17","kjv.Deut.17"
"kjv","Deut.18","kjv.Deut.18"
"kjv","Deut.19","kjv.Deut.19"
"kjv","Deut.20","kjv.Deut.20"
"kjv","Deut.21","kjv.Deut.21"
"kjv","Deut.22","kjv.Deut.22"
"kjv","Deut.23","kjv.Deut.23"
"kjv","Deut.24","kjv.Deut.24"
"kjv","Deut.25","kjv.Deut.25"
"kjv","Deut.26","kjv.Deut.26"
"kjv","Deut.27","kjv.Deut.27"
"kjv","Deut.28","kjv.Deut.28"
"kjv","Deut.29","kjv.Deut.29"
"kjv","Deut.30","kjv.Deut.30"
"kjv","Deut.31","kjv.Deut.31"
"kjv","Deut.32","kjv.Deut.32"
"kjv","Deut.33","kjv.Deut.33"
"kjv","Deut.34","kjv.Deut.34"
"kjv","Josh.1","kjv.Josh.1"
"kjv","Josh.2","kjv.Josh.2"
"kjv","Josh.3","kjv.Josh.3"
"kjv","Josh.4","kjv.Josh.4"
"kjv","Josh.5","kjv.Josh.5"
"kjv","Josh.6","kjv.Josh.6"
"kjv","Josh.7","kjv.Josh.7"
"kjv","Josh.8","kjv.Josh.8"
"kjv","Josh.9","kjv.Josh.9"
"kjv","Josh.10","kjv.Josh.10"
"kjv","Josh.11","kjv.Josh.11"
"kjv","Josh.12","kjv.Josh.12"
"kjv","Josh.13","kjv.Josh.13"
"kjv","Josh.14","kjv.Josh.14"
"kjv","Josh.15","kjv.Josh.15"
"kjv","Josh.16","kjv.Josh.16"
"kjv","Josh.17","kjv.Josh.17"
"kjv","Josh.18","kjv.Josh.18"
"kjv","Josh.19","kjv.Josh.19"
"kjv","Josh.20","kjv.Josh.20"
"kjv","Josh.21","kjv.Josh.21"
"kjv","Josh.22","kjv.Josh.22"
"kjv","Josh.23","kjv.Josh.23"
"kjv","Josh.24","kjv.Josh.24"
"kjv","Judg.1","kjv.Judg.1"
"kjv","Judg.2","kjv.Judg.2"
"kjv","Judg.3","kjv.Judg.3"
"kjv","Judg.4","kjv.Judg.4"
"kjv","Judg.5","kjv.Judg.5"
"kjv","Judg.6","kjv.Judg.6"
"kjv","Judg.7","kjv.Judg.7"
"kjv","Judg.8","kjv.Judg.8"
"kjv","Judg.9","kjv.Judg.9"
"kjv","Judg.10","kjv.Judg.10"
"kjv","Judg.11","kjv.Judg.11"
"kjv","Judg.12","kjv.Judg.12"
"kjv","Judg.13","kjv.Judg.13"
"kjv","Judg.14","kjv.Judg.14"
"kjv","Judg.15","kjv.Judg.15"
"kjv","Judg.16","kjv.Judg.16"
"kjv","Judg.17","kjv.Judg.17"
"kjv","Judg.18","kjv.Judg.18"
"kjv","Judg.19","kjv.Judg.19"
"kjv","Judg.20","kjv.Judg.20"
"kjv","Judg.21","kjv.Judg.21"
"kjv","Ruth.1","kjv.Ruth.1"
"kjv","Ruth.2","kjv.Ruth.2"
"kjv","Ruth.3","kjv.Ruth.3"
"kjv","Ruth.4","kjv.Ruth.4"
"kjv","1Sam.1","kjv.1Sam.1"
"kjv","1Sam.2","kjv.1Sam.2"
"kjv","1Sam.3","kjv.1Sam.3"
"kjv","1Sam.4","kjv.1Sam.4"
"kjv","1Sam.5","kjv.1Sam.5"
"kjv","1Sam.6","kjv.1Sam.6"
"kjv","1Sam.7","kjv.1Sam.7"
"kjv","1Sam.8","kjv.1Sam.8"
"kjv","1Sam.9","kjv.1Sam.9"
"kjv","1Sam.10","kjv.1Sam.10"
"kjv","1Sam.11","kjv.1Sam.11"
"kjv","1Sam.12","kjv.1Sam.12"
"kjv","1Sam.13","kjv.1Sam.13"
"kjv","1Sam.14","kjv.1Sam.14"
"kjv","1Sam.15","kjv.1Sam.15"
"kjv","1Sam.16","kjv.1Sam.16"
"kjv","1Sam.17","kjv.1Sam.17"
"kjv","1Sam.18","kjv.1Sam.18"
"kjv","1Sam.19","kjv.1Sam.19"
"kjv","1Sam.20","kjv.1Sam.20"
"kjv","1Sam.21","kjv.1Sam.21"
"kjv","1Sam.22","kjv.1Sam.22"
"kjv","1Sam.23","kjv.1Sam.23"
"kjv","1Sam.24","kjv.1Sam.24"
"kjv","1Sam.25","kjv.1Sam.25"
"kjv","1Sam.26","kjv.1Sam.26"
"kjv","1Sam.27","kjv.1Sam.27"
"kjv","1Sam.28","kjv.1Sam.28"
"kjv","1Sam.29","kjv.1Sam.29"
"kjv","1Sam.30","kjv.1Sam.30"
"kjv","1Sam.31","kjv.1Sam.31"
"kjv","2Sam.1","kjv.2Sam.1"
"kjv","2Sam.2","kjv.2Sam.2"
"kjv","2Sam.3","kjv.2Sam.3"
"kjv","2Sam.4","kjv.2Sam.4"
"kjv","2Sam.5","kjv.2Sam.5"
"kjv","2Sam.6","kjv.2Sam.6"
"kjv","2Sam.7","kjv.2Sam.7"
"kjv","2Sam.8","kjv.2Sam.8"
"kjv","2Sam.9","kjv.2Sam.9"
"kjv","2Sam.10","kjv.2Sam.10"
"kjv","2Sam.11","kjv.2Sam.11"
"kjv","2Sam.12","kjv.2Sam.12"
"kjv","2Sam.13","kjv.2Sam.13"
"kjv","2Sam.14","kjv.2Sam.14"
"kjv","2Sam.15","kjv.2Sam.15"
"kjv","2Sam.16","kjv.2Sam.16"
"kjv","2Sam.17","kjv.2Sam.17"
"kjv","2Sam.18","kjv.2Sam.18"
"kjv","2Sam.19","kjv.2Sam.19"
"kjv","2Sam.20","kjv.2Sam.20"
"kjv","2Sam.21","kjv.2Sam.21"
"kjv","2Sam.22","kjv.2Sam.22"
"kjv","2Sam.23","kjv.2Sam.23"
"kjv","2Sam.24","kjv.2Sam.24"
"kjv","1Kgs.1","kjv.1Kgs.1"
"kjv","1Kgs.2","kjv.1Kgs.2"
"kjv","1Kgs.3","kjv.1Kgs.3"
"kjv","1Kgs.4","kjv.1Kgs.4"
"kjv","1Kgs.5","kjv.1Kgs.5"
"kjv","1Kgs.6","kjv.1Kgs.6"
"kjv","1Kgs.7","kjv.1Kgs.7"
"kjv","1Kgs.8","kjv.1Kgs.8"
"kjv","1Kgs.9","kjv.1Kgs.9"
"kjv","1Kgs.10","kjv.1Kgs.10"
