Time codes,meta_data
"0,8.69865083694458,16.52528953552246,32.680233001708984,41.295480728149414,56.26089859008789,66.88803100585938,80.2885513305664,94.16291427612305,101.68880081176758,112.49723815917969,121.0496826171875,134.6207504272461,142.5359115600586,156.64026641845703,165.22659301757812,172.28863525390625",
"0,6.231069087982178,16.293968200683594,27.16102695465088,34.29877281188965,43.50575637817383,54.670331954956055,63.49841499328613,68.57292556762695,78.78596496582031",
"0,6.362267573696145,14.02485260770975,25.123990929705215,34.5512925170068,42.98012471655329,54.89196145124717,69.61340136054422,82.08251700680272,89.37358276643991",
"0,6.6119444370269775,24.976770401000977,30.9307222366333,36.68250846862793,47.88937187194824,60.91126251220703,67.76660537719727,80.99918365478516,91.58721923828125,104.12149810791016",
