Time codes,meta_data
"0,19.34612274169922,31.719637870788574,45.69049072265625,58.81904411315918,72.31161880493164,82.78091812133789,91.63800048828125,100.34220504760742,107.76108932495117,115.40873336791992",
"0,16.04682970046997,30.30667495727539,34.24224662780762,37.45153999328613,41.329994201660156,47.84107971191406,51.76303291320801,55.37134552001953,59.12403869628906,62.44659233093262,66.19590377807617,70.64951705932617,73.97581100463867,77.60211944580078,80.94879531860352,84.68286514282227,88.4235610961914,92.0583724975586,96.02270889282227,98.84360122680664,102.30015563964844,105.47714233398438,108.23165512084961,111.34307098388672,117.12362289428711,120.39741516113281,123.80808639526367,126.81512069702148,129.32987213134766,132.26453399658203,136.48799896240234,139.32589721679688,144.1021499633789,146.74240112304688,149.76143646240234,156.1241455078125,158.83415985107422,162.69223022460938,165.99140167236328,173.34679412841797,177.40612030029297,190.1426544189453,196.2513427734375,200.24456024169922,204.1928939819336,208.5953598022461,213.06397247314453,217.89122772216797,222.46221160888672,226.4531707763672,230.71728515625,235.32139587402344,240.91307067871094,243.50682067871094,250.43568420410156,254.4066390991211,262.27891540527344,267.834716796875,281.1530303955078,287.44935607910156,300.25726318359375,310.0201416015625,318.5095977783203,323.9481201171875,333.34849548339844,339.1379089355469,344.7947082519531,353.6651611328125,364.94212341308594",
"0,9.736501693725586,26.870887756347656,38.01296615600586,47.329328536987305,59.077186584472656,66.2903823852539,81.6833610534668,103.6340103149414,118.09944152832031,132.21995544433594,148.43067932128906,163.1599578857422",
"0,9.24772310256958,23.894733428955078,40.535221099853516,47.31482696533203,56.061649322509766,64.48271560668945,80.2807846069336,86.82301712036133,102.04698181152344,113.61095428466797,123.2929573059082,137.74270629882812,151.04964447021484,160.87640380859375,178.45719146728516,187.76067352294922,201.70703125,206.1448745727539,216.06501007080078,225.35549926757812,234.0985870361328,240.0088882446289,254.18124389648438",
"0,12.538775510204081,24.380952380952383,39.10240362811791,44.90739229024943,56.47092970521541,70.03138321995465,75.99891156462584,89.90765306122448,98.66157596371882,103.49132653061224,114.79944444444445,126.45586167800454,132.88778911564626,151.51019274376415,160.49630385487526,172.7796485260771",
"0,8.198423862457275,16.562936782836914,35.41223335266113,43.29668998718262,59.97781181335449,70.37713241577148,77.3855209350586,92.53902816772461,107.99007797241211,116.11250305175781,129.38909149169922,145.6543731689453,155.88677215576172,174.50411987304688,182.4917755126953,191.03269958496094,205.15380096435547,215.6135482788086,222.04327392578125,234.24427795410156,246.46503448486328",
"0,12.283356009070294,16.253968253968253,20.410340136054423,24.61315192743764,31.695238095238093,45.62721088435374,57.63191609977324,61.81149659863945,71.84251700680272,81.0143990929705,91.90454648526077,103.21266439909297,116.30871882086169,126.33973922902493,133.3986054421769,145.28722222222223,157.2687188208617,165.53501133786847,172.3152380952381,182.36947845804985,199.27360544217686,211.90526077097505,221.68086167800453,236.30943310657597,251.28630385487526,267.33129251700683,278.0821315192744",
"0,10.69279956817627,18.260945320129395,27.411666870117188,35.38433074951172,40.70798110961914,45.8957405090332,51.869049072265625,58.05861854553223,64.6745834350586,71.37282180786133,77.8694076538086,84.82589721679688,95.31229019165039,101.47138214111328,114.58893585205078,134.88935089111328,149.75809478759766,161.4258041381836,168.86200714111328,177.90505981445312,193.34373474121094,211.65543365478516,217.4599838256836,224.98574829101562,234.47351837158203,242.76831817626953,249.40166473388672,259.2474365234375,270.67213439941406,277.92515563964844,290.98121643066406,294.9940490722656,312.548828125,316.7162628173828,333.6422424316406",
"0,21.71065759637188,34.620952380952374,44.744852607709745,56.47092970521542,68.4756462585034,83.82403628117913,101.8427097505669,117.93413832199546,135.83672335600903,143.35996598639454,158.68512471655328,175.1712925170068,189.42833333333334,202.6869274376417",
"0,17.439441680908203,31.70945644378662,44.381601333618164,53.113033294677734,63.402130126953125,80.23703002929688,89.52367782592773,102.09818649291992,119.30484771728516,130.26202392578125,142.585205078125,150.49097442626953,163.64232635498047,182.92955017089844,195.1532440185547,211.1728057861328,217.11878967285156,230.57691192626953,239.15151977539062,242.85550689697266,250.43653106689453,260.4321594238281,270.16685485839844,276.41766357421875,289.5222930908203,297.3302001953125,305.8393096923828,311.8748779296875,319.36216735839844,330.6012878417969,337.11427307128906,339.6225280761719,348.5602264404297,353.2251281738281,356.09124755859375,358.9107208251953,362.92799377441406,366.5071563720703,369.08677673339844,372.5108947753906,375.2915802001953,377.3553771972656,385.61305236816406",
